contest_id,contest_sponsor,date,handle,address,risk
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
6,basedloans,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,0
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,G
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,1
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,2
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,2
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,1
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,1
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,1
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,3
6,basedloans,2021/04,@cmichelio,0x6823636c2462cfdcD8d33fE53fBCD0EdbE2752ad,1
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,1
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,G
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,1
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,gpersoon,gpersoon.eth,0
6,basedloans,2021/04,paulius.eth,0x0c4243ca087F4e4738596F33292064e847DA80dA,0
6,basedloans,2021/04,paulius.eth,0x0c4243ca087F4e4738596F33292064e847DA80dA,3
6,basedloans,2021/04,paulius.eth,0x0c4243ca087F4e4738596F33292064e847DA80dA,1
6,basedloans,2021/04,paulius.eth,0x0c4243ca087F4e4738596F33292064e847DA80dA,0
6,basedloans,2021/04,paulius.eth,0x0c4243ca087F4e4738596F33292064e847DA80dA,0
6,basedloans,2021/04,paulius.eth,0x0c4243ca087F4e4738596F33292064e847DA80dA,1
6,basedloans,2021/04,paulius.eth,0x0c4243ca087F4e4738596F33292064e847DA80dA,0
6,basedloans,2021/04,shw,0xB48B9694BeC446E3Bf54788f913174a6580a279F,1
6,basedloans,2021/04,shw,0xB48B9694BeC446E3Bf54788f913174a6580a279F,1
6,basedloans,2021/04,shw,0xB48B9694BeC446E3Bf54788f913174a6580a279F,1
6,basedloans,2021/04,shw,0xB48B9694BeC446E3Bf54788f913174a6580a279F,1
6,basedloans,2021/04,shw,0xB48B9694BeC446E3Bf54788f913174a6580a279F,1
6,basedloans,2021/04,toastedsteaksandwich,0xD8f6877aec57C3d70F458C54a1382dDc90522E7D,0
6,basedloans,2021/04,toastedsteaksandwich,0xD8f6877aec57C3d70F458C54a1382dDc90522E7D,0
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,2
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,2
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,2
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,3
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,1
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,2
4,maple,2021/04,0xRajeev,0x7e026a0C061382B0F5935a90BC7324ab0a5A3aCc,2
